Institution,BuildingId,Average Number of Residents
1,-913305970,8
1,-913303842,5
1,-913288370,13
1,-426688450,199
1,-426685378,206
1,-426684866,199
1,-426684610,145
1,-409973026,18
1,-409898690,59
1,-409895874,191
1,-409895362,141
1,-409895106,188
1,-124760354,30
1,-124673986,167
1,-124670914,207
1,-124670402,204
1,-124670146,143
1,-107983138,19
1,-107917250,187
1,-107914178,193
1,-107913666,32
1,-107913410,137
1,-91127746,186
1,-91127490,143
1,-91124674,188
1,-91124162,203
1,-74338242,167
1,-74335170,194
1,-74334658,194
1,-74334402,137
2,-426676978,230
2,-426676962,225
2,-426676946,227
2,-426676738,231
2,-409899746,44
2,-409899730,130
2,-107909874,236
2,-107909858,224
2,-107909842,214
2,-107909634,229
3,-913303842,4
3,-913288370,12
3,-913087122,1
3,-829330130,53
3,-426676978,137
3,-426676962,138
3,-426676946,141
3,-426676754,11
3,-426676738,139
3,-409899762,136
3,-409899746,144
3,-409899730,143
3,-409899538,12
3,-409899522,141
3,-208662898,8
3,-208660770,1
3,-208573154,47
3,-208573138,49
3,-124687090,161
3,-124687074,159
3,-124687058,159
3,-124686866,55
3,-124686850,151
3,-107909874,140
3,-107909858,133
3,-107909842,101
3,-107909650,142
3,-107909634,139
4,-968594130,38
4,-967480018,37
4,-967414482,36
4,-967348946,36
4,-967283410,60
4,-967152338,40
4,-965907154,37
4,-965317330,41
4,-965055186,49
4,-964989650,32
4,-964924114,38
4,-964858578,38
4,-960991954,36
4,-960926418,37
4,-913303842,1
4,-913288370,5
4,-426676946,684
4,-208662898,9
4,-208575826,14
4,-208575810,13
4,-208575794,15
4,-208575218,20
4,-208575202,11
4,-208575186,13
4,-208575170,17
4,-208575010,19
4,-208574994,21
4,-208574978,16
4,-107983138,16
4,-107909874,77
4,-107909858,156
4,-107909842,160
4,-107909650,127
4,-107909634,74
5,-913305970,4
5,-426764578,2
5,-426749106,6
5,-426676978,96
5,-426676962,93
5,-426676946,91
5,-426676802,75
5,-426676786,50
5,-426676770,91
5,-426676754,94
5,-426676738,94
5,-409987362,2
5,-409899762,94
5,-409899746,85
5,-409899730,91
5,-409899586,17
5,-409899570,45
5,-409899554,74
5,-409899538,92
5,-409899522,89
5,-124774690,2
5,-124687074,559
5,-124687058,547
5,-107909874,165
5,-107909858,144
5,-107909842,46
5,-107909650,161
5,-107909634,167
6,-913305970,5
6,-913303842,2
6,-913289506,22
6,-913288370,16
6,-426656322,78
6,-426656306,178
6,-426656290,133
6,-426656274,57
6,-409879282,92
6,-409879266,138
6,-409879250,91
6,-409879042,82
6,-124666866,167
6,-124666658,133
6,-124666642,166
6,-124666626,179
6,-107889634,156
6,-107889618,170
6,-107889602,183
6,-107889234,163
7,-913303842,3
7,-913288370,10
7,-829330130,49
7,-426676978,172
7,-426676962,174
7,-426676946,176
7,-426676754,160
7,-426676738,22
7,-409899762,162
7,-409899746,184
7,-409899730,165
7,-409899538,11
7,-409899522,170
7,-208662898,5
7,-208660770,1
7,-208573154,42
7,-208573138,41
7,-124687090,169
7,-124687074,165
7,-124687058,164
7,-124686866,31
7,-124686850,119
7,-107909874,152
7,-107909858,156
7,-107909842,150
7,-107909650,142
7,-107909634,148
8,-913303842,1
8,-426681074,30
8,-426681058,46
8,-426681042,19
8,-426680898,49
8,-426680882,46
8,-426680866,51
8,-426680850,28
8,-426680834,45
8,-409903842,6
8,-409903826,22
8,-409903618,161
8,-124691186,58
8,-124691170,57
8,-124691154,57
8,-124690994,50
8,-124690978,58
8,-124690962,59
8,-124690946,58
8,-107913970,87
8,-107913954,88
8,-107913938,93
8,-107913762,90
8,-107913746,93
8,-107913730,93
8,-74359538,138
8,-74359522,152
8,-74359506,230
8,-74359314,147
8,-74359298,150
9,-124776818,4
9,-124774690,1
9,-124715426,70
9,-107992338,34
9,1653278766,142
9,1653278830,45
9,1653279790,142
9,1653279854,175
9,1653286446,143
9,1653289518,132
9,1653291054,59
9,1653291566,91
9,1653292846,136
9,1667958830,97
9,1667966766,114
9,1667969582,87
9,1667970350,90
9,1667971118,40
9,1669007406,97
9,1669015086,98
9,1669015342,102
9,1669017902,102
9,1669018158,84
9,1669018670,100
9,1669019694,103
9,1669021486,100
9,1798015102,175
9,1798015374,182
9,1798015390,187
10,-966365906,19
10,-966169298,20
10,-913303842,1
10,-913288370,10
10,-913248594,28
10,-409988770,190
10,-409963170,77
10,-409952930,154
10,-409946786,202
10,-409941154,39
10,-409930146,7
10,-409873058,96
10,-409781410,50
10,-409780642,20
10,-409770658,6
10,-409764514,158
11,-913283202,18
11,-426676978,176
11,-426676738,158
11,-409899746,240
11,-409899730,207
11,-208662898,5
11,-208572914,26
11,-208572898,26
11,-208572882,25
11,-208572866,31
11,-208572674,26
11,-124686914,280
11,-124686898,235
11,-107909666,263
11,-107909650,43
11,-91132914,65
11,-91132898,66
11,-91132882,44
11,-91132754,65
11,-91132738,65
11,-91132722,64
11,-91132706,66
11,-91132690,65
11,-91132674,66
11,-91132098,66
11,-74355650,64
11,-74355442,64
11,-74355410,62
11,-74355282,64
11,-74355266,61
11,-74355250,61
11,-74355234,61
11,-74355218,58
11,-74355202,66
11,-57578194,39
11,-40800498,53
11,-40800482,50
11,-40800322,24
11,-40800306,37
11,-40800290,63
11,-40800274,59
11,-40800258,56
12,-913307266,38
12,-913303842,2
12,-208662898,8
12,-208573170,8
12,-208573154,7
12,-208573138,8
12,-208572930,7
12,-107980418,41
12,1667971438,99
12,1667971454,117
12,1798670350,289
12,1798670366,84
12,1798670382,72
12,1798670398,97
12,1798670478,31
12,1798670494,80
12,1798670510,80
12,1798670542,177
12,1798670558,145
12,1798670574,134
12,1798670750,34
12,1798671134,20
12,1798671150,12
12,1798671166,21
12,1798671182,105
12,1798671198,90
12,1798671214,89
12,1798671230,53
13,-913303842,3
13,-913288370,82
13,-829330130,84
13,-414290674,172
13,-414290658,22
13,-414290642,142
13,-414290450,177
13,-414290434,173
13,-414225138,73
13,-414225122,159
13,-414225106,153
13,-414224914,151
13,-414224898,131
13,-414094066,142
13,-414094050,135
13,-414094034,140
13,-414093842,140
13,-414093826,139
13,-406925170,65
13,-406925074,95
13,-406921842,103
13,-406921746,100
13,-406921586,110
13,-406921490,111
13,-406921330,99
13,-406921234,109
13,-406863730,44
13,-406863634,58
13,-406860402,64
13,-406860306,44
13,-406860146,57
13,-406860050,39
13,-406859890,46
13,-406859794,29
13,-208662898,4
13,-208572946,40
13,-208572930,41
14,-913303842,2
14,-913288370,6
14,-426685410,39
14,-426685378,78
14,-426685186,138
14,-426685170,34
14,-426685154,73
14,-426685138,82
14,-426685010,79
14,-426684994,78
14,-426684978,53
14,-426684962,79
14,-426684946,80
14,-426684930,62
14,-409895922,2
14,-409895906,67
14,-409895890,65
14,-409895874,40
14,-409895666,72
14,-409895650,62
14,-409895634,66
14,-409895506,70
14,-409895490,58
14,-409895474,62
14,-409895458,67
14,-409895442,73
14,-409895426,36
14,-124670914,5
14,-124670706,82
14,-124670690,90
14,-124670674,76
14,-124670546,73
14,-124670530,17
14,-124670514,13
14,-124670498,38
14,-124670482,67
14,-124670466,86
14,-107999602,6
14,-107914226,79
14,-107914210,76
14,-107914178,77
14,-107914002,32
14,-107913986,21
14,-107913970,65
14,-107913954,81
14,-107913810,73
14,-107913794,48
14,-107913778,77
14,-107913762,79
14,-107913746,79
14,-107913730,70
15,-409989490,6
15,-124686882,1
15,-107997474,6
15,-107988466,1
15,-107988450,2
15,-107988306,1
15,-107988290,2
15,-107988274,1
15,-107988258,2
15,-107988242,1
15,-107988226,2
15,-107987938,5
15,-107987922,7
15,-107983138,17
15,-107982002,15
15,-107799522,2
15,-107799506,1
15,-107799490,2
15,1654328382,205
15,1654328638,32
15,1654328894,192
15,1654334526,199
15,1654339390,33
15,1654339646,281
15,1654339902,165
15,1654340158,223
15,1654340414,210
15,1654341438,265
15,1667958830,535
15,1667959150,72
15,1667959854,539
15,1669017758,581
15,1669019294,554
15,1669020526,30
15,1798015854,27
16,-913303842,1
16,-913294834,1
16,-913294818,1
16,-913294658,1
16,-913294642,1
16,-913294626,1
16,-426676978,237
16,-426676754,227
16,-426676738,231
16,-426570370,21
16,-409899762,27
16,-409899746,228
16,-409899730,235
16,-409793154,12
16,-208662898,7
16,-124687314,58
16,-124687298,224
16,-124686930,221
16,-124580482,20
16,-107909698,205
16,-107909682,204
16,-107909666,194
16,-107803266,12
16,1637562414,3
16,1653291390,7
16,1654339710,9
16,1667966846,9
16,1669015166,8
18,-913303842,3
18,-426676946,214
18,-409899762,628
18,-409899746,474
18,-409899730,924
18,-409899538,408
18,-409899522,80
18,-208662898,7
18,-208573394,14
18,-208573378,17
18,-208573170,12
18,-208573154,15
18,-208573138,13
18,-208573010,20
18,-208572994,17
18,-208572978,20
18,-208572962,5
18,-208572946,11
18,-208572930,10
19,-913303842,2
19,-913288370,13
19,-829330130,95
19,-426676978,133
19,-426676962,98
19,-426676946,142
19,-426676754,13
19,-426676738,127
19,-409899762,149
19,-409899746,102
19,-409899730,161
19,-409899538,87
19,-409899522,128
19,-208662898,12
19,-208573154,45
19,-124687090,105
19,-124687074,107
19,-124687058,106
19,-124686914,22
19,-124686898,96
19,-124686882,100
19,-124686866,108
19,-124686850,99
19,-107909874,107
19,-107909858,100
19,-107909842,26
19,-107909698,100
19,-107909682,95
19,-107909666,105
19,-107909650,104
19,-107909634,105
20,-913303842,2
20,-913288370,3
20,-426676978,108
20,-426676962,129
20,-426676946,126
20,-426676754,129
20,-426676738,111
20,-409899762,182
20,-409899746,169
20,-409899730,158
20,-409899538,32
20,-409899522,179
20,-208660770,1
20,-208573154,52
20,-208573138,58
20,-124687090,158
20,-124687074,162
20,-124687058,163
20,-124686866,41
20,-124686850,50
20,-107909874,147
20,-107909858,20
20,-107909842,33
20,-107909650,148
20,-107909634,148
21,-999002834,99
21,-998806226,78
21,-913303842,2
21,-913288370,18
21,-426676978,103
21,-426676962,102
21,-426676946,40
21,-426676802,103
21,-426676786,103
21,-426676770,107
21,-426676754,109
21,-426676738,118
21,-409899762,112
21,-409899746,109
21,-409899730,71
21,-409899570,108
21,-409899554,101
21,-409899538,108
21,-409899522,86
21,-208573154,1
21,-208573138,52
21,-124687090,108
21,-124687074,97
21,-124687058,87
21,-124686914,76
21,-124686898,57
21,-124686882,55
21,-124686866,94
21,-124686850,99
21,-107909874,94
21,-107909858,100
21,-107909842,93
21,-107909698,79
21,-107909682,79
21,-107909666,95
21,-107909650,109
21,-107909634,87
22,-913303842,4
22,-913288370,11
22,-829330130,66
22,-426676978,131
22,-426676962,21
22,-426676946,143
22,-426676754,157
22,-426676738,147
22,-409899762,152
22,-409899746,154
22,-409899730,148
22,-409899538,155
22,-409899522,108
22,-208573154,27
22,-208573138,22
22,-124687090,144
22,-124687074,126
22,-124687058,134
22,-124686866,103
22,-124686850,129
22,-107909874,157
22,-107909858,163
22,-107909842,155
22,-107909650,20
22,-107909634,131
23,-913303842,3
23,-913288370,9
23,-913216018,3
23,-426750242,35
23,-426677186,170
23,-426676818,173
23,-426676802,133
23,-426676786,159
23,-426676770,166
23,-409973026,52
23,-409899762,157
23,-409899746,37
23,-409899730,151
23,-409899538,158
23,-409899522,159
23,-208662898,6
23,-208573154,29
23,-208573138,56
23,-124774690,2
23,-124687170,242
23,-124687154,256
23,-124687138,257
23,-107983138,24
23,-107910130,137
23,-107910114,97
23,-107910098,162
23,-107909906,157
23,-107909890,144
23,-74443042,2
23,-74355538,258
23,-74354898,253
23,-74354882,256
24,-913303842,2
24,-913288370,14
24,-426676978,184
24,-426676962,186
24,-426676946,140
24,-426676770,167
24,-426676754,134
24,-426676738,141
24,-409899762,172
24,-409899746,174
24,-409899730,172
24,-409899538,113
24,-409899522,79
24,-208662898,5
24,-208660770,1
24,-208573154,47
24,-208573138,51
24,-124687090,62
24,-124687074,133
24,-124687058,167
24,-124686882,99
24,-124686866,190
24,-124686850,179
24,-107909874,257
24,-107909858,246
24,-107909842,250
24,-107909634,261
24,1798015070,185
24,1798015806,179
25,-913303842,2
25,-913288370,5
25,-829330130,66
25,-426676978,105
25,-426676962,30
25,-426676946,39
25,-426676802,81
25,-426676786,96
25,-426676770,95
25,-426676754,89
25,-426676738,91
25,-409899762,60
25,-409899746,12
25,-409899730,10
25,-409899586,110
25,-409899570,104
25,-409899554,105
25,-409899538,106
25,-409899522,105
25,-208662898,5
25,-124687298,48
25,-124687090,44
25,-124687074,41
25,-124687058,42
25,-124686930,44
25,-124686914,45
25,-124686898,45
25,-124686882,45
25,-124686866,46
25,-124686850,46
25,-107910114,38
25,-107910098,31
25,-107910082,25
25,-107909874,28
25,-107909858,26
25,-107909842,19
25,-107909698,45
25,-107909682,49
25,-107909666,12
25,-107909650,36
25,-107909634,41
26,-913303842,2
26,-829330130,77
26,-426676978,123
26,-426676962,142
26,-426676946,140
26,-426676754,121
26,-426676738,145
26,-409899762,158
26,-409899746,152
26,-409899730,105
26,-409899538,154
26,-409899522,152
26,-208662898,4
26,-208660770,1
26,-208573154,37
26,-208573138,36
26,-124687090,16
26,-124687074,158
26,-124687058,158
26,-124686866,27
26,-124686850,92
26,-107909874,146
26,-107909858,123
26,-107909842,113
26,-107909650,143
26,-107909634,119
27,-913303842,3
27,-913288370,25
27,-426750242,10
27,-426677186,118
27,-426676818,90
27,-426676802,94
27,-426676786,77
27,-426676770,72
27,-409899762,125
27,-409899746,154
27,-409899730,141
27,-409899538,149
27,-409899522,146
27,-208662898,5
27,-124760354,13
27,-124687186,142
27,-124687170,151
27,-124687154,156
27,-124687138,149
27,-124686530,19
27,-107983138,11
27,-107910130,138
27,-107910114,141
27,-107910098,140
27,-107909906,131
27,-107909890,130
27,-74443042,2
27,-74354930,249
27,-74354706,258
27,-74354690,256
28,-913307618,9
28,-913307602,12
28,-829330130,104
28,-426676978,89
28,-426676962,68
28,-426676946,78
28,-426676802,62
28,-426676786,50
28,-426676770,73
28,-426676754,73
28,-426676738,79
28,-409899762,95
28,-409899746,57
28,-409899730,57
28,-409899586,39
28,-409899570,87
28,-409899554,93
28,-409899538,61
28,-409899522,95
28,-409770642,2
28,-208573154,77
28,-208573138,49
28,-107997474,1
28,-107909874,107
28,-107909858,106
28,-107909842,113
28,-107909698,24
28,-107909682,29
28,-107909666,87
28,-107909650,97
28,-107909634,96
28,-107780754,1
29,-913303842,3
29,-913288370,35
29,-829330130,98
29,-426750242,22
29,-426676978,208
29,-426676962,193
29,-426676946,193
29,-409973026,34
29,-409899762,193
29,-409899746,183
29,-409899730,190
29,-124687090,125
29,-124687074,168
29,-124687058,160
29,-124686866,183
29,-124686850,156
29,-107909874,16
29,-107909858,96
29,-107909842,66
29,-107909698,106
29,-107909682,97
29,-107909666,104
29,-107909650,105
29,-107909634,15
29,-91132658,211
29,-91132642,326
29,-91132626,224
29,-74355442,165
29,-74355426,45
29,-74355410,124
29,-74355218,160
29,-74355202,165
29,-40801010,246
29,-40800994,324
29,-40800978,208
30,-968594130,69
30,-968463058,79
30,-968331986,66
30,-968135378,53
30,-968069842,59
30,-968004306,64
30,-967480018,59
30,-967414482,51
30,-967348946,51
30,-967283410,73
30,-967152338,71
30,-967086802,58
30,-966955730,58
30,-966496978,47
30,-966431442,51
30,-966038226,48
30,-965972690,49
30,-965907154,60
30,-965448402,55
30,-965317330,68
30,-965186258,56
30,-965120722,50
30,-965055186,71
30,-964989650,63
30,-964924114,76
30,-964858578,59
30,-961254098,55
30,-961057490,54
30,-960991954,58
30,-960926418,59
30,-913305970,4
30,-913303842,2
30,-426676946,653
30,-409899730,687
30,-107983138,27
30,-107909874,64
30,-107909858,100
30,-107909842,137
30,-107909650,126
30,-107909634,156
31,-913288370,9
31,-426750242,24
31,-426677218,175
31,-426677202,167
31,-426677186,89
31,-426676818,23
31,-426676802,178
31,-426676786,33
31,-409987362,2
31,-409899762,137
31,-409899746,157
31,-409899730,65
31,-409899554,137
31,-409899538,154
31,-409899522,139
31,-124687186,143
31,-124686578,182
31,-124686562,184
31,-124686546,192
31,-124686530,184
31,-124686338,146
31,-107997474,3
31,-107910130,192
31,-107909954,143
31,-107909938,46
31,-107909922,111
31,-107909906,187
31,-107909890,193
32,-913305970,7
32,-913303842,2
32,-913299794,13
32,-913293954,5
32,-913293906,17
32,-913289506,27
32,-913288370,42
32,-426676978,169
32,-426676962,74
32,-426676946,78
32,-426676754,172
32,-426676738,171
32,1669007758,491
32,1669008782,728
32,1669015166,36
32,1669018254,733
32,1669020558,465
33,-913307266,19
33,-913303842,4
33,-829330002,102
33,-426676978,144
33,-426676962,129
33,-426676946,142
33,-426676754,144
33,-426676738,147
33,-409899762,157
33,-409899746,163
33,-409899730,154
33,-409899538,136
33,-409899522,139
33,-208660770,1
33,-208573154,24
33,-208573138,27
33,-124687090,82
33,-124687074,87
33,-124687058,71
33,-124686914,101
33,-124686898,105
33,-124686882,76
33,-124686866,103
33,-124686850,85
33,-107909874,94
33,-107909858,105
33,-107909842,95
33,-107909698,108
33,-107909682,11
33,-107909666,54
33,-107909650,51
33,-107909634,104
33,-7246562,66
33,-7246546,48
34,-913303842,2
34,-913289506,2
34,-913288370,20
34,-426676978,236
34,-426676962,221
34,-426676946,197
34,-426676738,204
34,-409899762,42
34,-409899746,158
34,-409899730,157
34,-409899522,41
34,-124687090,205
34,-124687074,223
34,-124687058,216
34,-124686850,214
34,-107909874,223
34,-107909858,215
34,-107909842,186
34,-107909634,212
35,-913303842,1
35,-913288370,12
35,-426676978,169
35,-426676962,107
35,-426676946,124
35,-426676770,91
35,-426676754,83
35,-426676738,98
35,-409899762,148
35,-409899746,134
35,-409899730,126
35,-409899538,143
35,-409899522,73
35,-208662898,4
35,-208573154,74
35,-208573138,32
35,-124687090,120
35,-124687074,98
35,-124687058,110
35,-124686898,123
35,-124686882,67
35,-124686866,131
35,-124686850,100
35,-107909874,214
35,-107909858,180
35,-107909842,218
35,-107909634,211
35,-57578226,135
35,-57578210,156
35,-57578194,159
35,-57577986,153
NA,NA,32
